时间	设备名称	片上时间()	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(?t)	磁场Y(?t)	磁场Z(?t)	温度(℃)	电量()	信号()	版本号()
15:48:21.247	WT5500002992(2).wplay	2024-10-8 15:13:42.815	0.010	0.003	1.006	0.000	0.000	0.000	0.176	-0.472	135.483	93.457	-95.312	-27.441	39.5	3.72	-55	13011
15:48:21.248	WT5500002992(2).wplay	2024-10-8 15:13:42.893	0.008	0.998	-0.043	0.000	0.000	0.000	92.455	-0.615	147.903	80.762	-57.227	133.008	39.4	3.67	-62	13011
15:48:21.249	WT5500002992(2).wplay	2024-10-8 15:13:42.915	0.011	0.002	1.005	0.000	0.000	0.000	0.170	-0.472	135.483	93.457	-95.312	-27.539	39.4	3.72	-55	13011
15:48:21.263	WT5500002992(2).wplay	2024-10-8 15:13:42.993	0.009	0.998	-0.042	0.000	0.000	0.000	92.450	-0.615	147.903	80.371	-57.617	131.738	39.5	3.67	-62	13011
15:48:21.263	WT5500002992(2).wplay	2024-10-8 15:13:43.15	0.012	0.004	1.005	0.000	0.000	0.000	0.170	-0.472	135.483	93.457	-95.312	-27.441	39.4	3.72	-55	13011
15:48:21.264	WT5500002992(2).wplay	2024-10-8 15:13:43.93	0.009	0.998	-0.043	0.000	0.000	0.000	92.455	-0.615	147.903	80.273	-57.715	131.641	39.4	3.67	-65	13011
15:48:21.267	WT5500002992(2).wplay	2024-10-8 15:13:43.115	0.010	0.002	1.005	0.000	0.000	0.000	0.170	-0.472	135.478	93.457	-95.215	-27.539	39.4	3.72	-55	13011
15:48:21.273	WT5500002992(2).wplay	2024-10-8 15:13:43.215	0.011	0.999	-0.042	0.000	0.000	0.000	92.455	-0.610	147.898	80.371	-57.812	131.543	39.5	3.67	-65	13011
15:48:21.274	WT5500002992(2).wplay	2024-10-8 15:13:43.193	0.008	0.997	-0.042	0.000	0.000	0.000	92.450	-0.615	147.887	81.543	-57.715	131.543	39.4	3.67	-65	13011
15:48:21.300	WT5500002992(2).wplay	2024-10-8 15:13:43.393	0.009	0.003	1.005	0.000	0.000	0.000	0.170	-0.472	135.478	93.457	-95.215	-27.539	39.4	3.72	-55	13011
15:48:21.301	WT5500002992(2).wplay	2024-10-8 15:13:43.415	0.011	0.003	1.005	0.000	0.000	0.000	0.170	-0.472	135.478	93.359	-95.312	-27.539	39.4	3.72	-55	13011
15:48:21.301	WT5500002992(2).wplay	2024-10-8 15:13:43.515	0.011	0.997	-0.043	0.000	0.000	0.000	92.450	-0.615	147.876	80.273	-57.617	131.445	39.5	3.67	-65	13011
15:48:21.306	WT5500002992(2).wplay	2024-10-8 15:13:43.593	0.008	0.998	-0.042	0.000	0.000	0.000	92.450	-0.615	147.876	80.371	-57.715	131.641	39.4	3.67	-65	13011
15:48:21.310	WT5500002992(2).wplay	2024-10-8 15:13:43.615	0.011	0.002	1.005	0.000	0.000	0.000	0.170	-0.472	135.478	93.262	-95.117	-27.539	39.4	3.72	-55	13011
15:48:21.314	WT5500002992(2).wplay	2024-10-8 15:13:43.715	0.011	0.998	-0.043	0.000	0.000	0.000	92.450	-0.615	147.876	80.273	-57.812	131.543	39.5	3.67	-65	13011
15:48:21.315	WT5500002992(2).wplay	2024-10-8 15:13:43.693	0.008	0.999	-0.043	0.000	0.000	0.000	92.450	-0.615	147.870	80.371	-57.715	131.738	39.4	3.67	-65	13011
15:48:21.323	WT5500002992(2).wplay	2024-10-8 15:13:43.793	0.008	0.003	1.006	0.000	0.000	0.000	0.170	-0.472	135.478	93.359	-95.215	-27.637	39.4	3.72	-52	13011
